score,class,case,Topic,,Title,URL
40,bad,They may stop providing the service at any time,Suspension and Censorship,https://edit.tosdr.org/cases/203,The service does not guarantee accuracy or reliability of the information provided,https://edit.tosdr.org/cases/288
100,bad,They store data on you even if you did not interact with the service,Personal Data,https://edit.tosdr.org/cases/234,The service does not guarantee that software errors will be corrected,https://edit.tosdr.org/cases/289
30,bad,Third parties are involved in operating the service,Third Parties,https://edit.tosdr.org/cases/207,The service does not index or open files that you upload,https://edit.tosdr.org/cases/194
15,bad,Third parties are involved in operating the service,Third Parties,,The service does not use any third-party advertising services,https://edit.tosdr.org/cases/498
50,good,Third parties are not allowed to access your personal information without a legal basis,Law and Government Requests,https://edit.tosdr.org/cases/167,The service explains how to prevent disclosure of personal information to third parties,https://edit.tosdr.org/cases/334
20,good,Third parties used by the service are bound by confidentiality obligations,Third Parties,https://edit.tosdr.org/cases/210,The service has a no refund policy,https://edit.tosdr.org/cases/162
5,bad,"Third party cookies are employed, but with opt out instructions",Trackers,https://edit.tosdr.org/cases/127,The service has non-exclusive use of your content,https://edit.tosdr.org/cases/402
10,bad,Third-party cookies are used for statistics,Trackers,https://edit.tosdr.org/cases/325,The service informs you that its privacy policy does not apply to third party websites,https://edit.tosdr.org/cases/299
50,bad,This service assumes no liability for any losses or damages resulting from any matter relating to the service,Governance,,The service is not responsible for linked or (clearly) quoted content from third-party content providers,https://edit.tosdr.org/cases/278
30,bad,This service assumes no liability for unauthorized access to your personal information,Personal Data,https://edit.tosdr.org/cases/186,The service is not transparent regarding government requests or inquiries that may involve your data.,https://edit.tosdr.org/cases/168
50,neutral,This service assumes no responsibility and liability for the contents of links to other websites,Governance,https://edit.tosdr.org/cases/279,The service is only available in some countries approved by its government,https://edit.tosdr.org/cases/490
50,bad,This service can use your content for all their existing and future services,Ownership,https://edit.tosdr.org/cases/180,The service is open-source,https://edit.tosdr.org/cases/485
0,neutral,This service cannot be held responsible for disputes that you may have with other users,Governance,https://edit.tosdr.org/cases/154,The service is provided 'as is' and to be used at your sole risk,https://edit.tosdr.org/cases/286
0,neutral,This service does not condone any ideas contained in its user-generated contents,Content,https://edit.tosdr.org/cases/292,The service is transparent regarding government requests or inquiries that may involve your data.,https://edit.tosdr.org/cases/169
0,bad,This service does not guarantee that it or the products obtained through it meet your expectations or requirements,Guarantee,https://edit.tosdr.org/cases/290,"The service may keep a secure, anonymized record of your data for analytical purposes even after the data retention period",https://edit.tosdr.org/cases/304
50,bad,This service employs a broad copyright license over user content including the right to distribute through any media,Copyright License,,The service promises to inform and/or notify you regarding government inquiries that may involve your personal data,https://edit.tosdr.org/cases/165
35,bad,This service gives your personal data to third parties involved in its operation,Third Parties,https://edit.tosdr.org/cases/188,"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",https://edit.tosdr.org/cases/287
10,bad,This service gives your personal data to third parties involved in its operation,Third Parties,,The service reviews its privacy policy on a regular basis,https://edit.tosdr.org/cases/301
40,neutral,This service has a no refund policy with some exceptions,Payments,https://edit.tosdr.org/cases/398,The service suspends your account after inactivity for a certain or uncertain time,https://edit.tosdr.org/cases/499
30,blocker,This service holds onto content that you've deleted,Right to Leave The Service,https://edit.tosdr.org/cases/174,The service will only respond to government requests that are reasonable,https://edit.tosdr.org/cases/393
